LapTime,LapNumber,TyreLife,FreshTyre,TrackStatus,Stint,Piloto,makeStop,AirTemp,Rainfall,Humidity,TrackTemp,posicionActual,tiempoPilotoDelante,tiempoPilotoDetras,posicionSalida,anyo,nextPit,compound_HARD,compound_MEDIUM,compound_SOFT,compound_SUPERSOFT,compound_ULTRASOFT
90.562,2.0,4.0,0,1,1.0,vettel,1,23.9,0,36.5,36.7,3.0,90.266,90.083,3.0,2018,26.0,0,0,0,0,1
90.177,3.0,5.0,0,1,1.0,vettel,0,23.9,0,36.3,36.8,3.0,89.856,91.235,3.0,2018,26.0,0,0,0,0,1
89.061,4.0,6.0,0,1,1.0,vettel,0,23.5,0,36.3,36.4,3.0,89.055,90.547,3.0,2018,26.0,0,0,0,0,1
89.054,5.0,7.0,0,1,1.0,vettel,0,23.4,0,36.5,36.3,3.0,89.074,90.518,3.0,2018,26.0,0,0,0,0,1
90.497,6.0,8.0,0,2,1.0,vettel,0,23.5,0,36.7,36.4,3.0,90.432,90.984,3.0,2018,26.0,0,0,0,0,1
90.177,7.0,9.0,0,2,1.0,vettel,0,23.8,0,35.6,37.5,3.0,89.944,90.577,3.0,2018,26.0,0,0,0,0,1
89.481,8.0,10.0,0,1,1.0,vettel,0,23.9,0,35.9,38.0,3.0,89.593,90.252,3.0,2018,26.0,0,0,0,0,1
89.375,9.0,11.0,0,1,1.0,vettel,0,24.1,0,35.1,38.0,3.0,89.003,90.445,3.0,2018,26.0,0,0,0,0,1
88.665,10.0,12.0,0,2,1.0,vettel,0,23.9,0,35.3,37.9,3.0,88.906,90.061,3.0,2018,26.0,0,0,0,0,1
89.025,11.0,13.0,0,1,1.0,vettel,0,24.0,0,35.0,37.1,3.0,88.485,90.005,3.0,2018,26.0,0,0,0,0,1
88.405,12.0,14.0,0,1,1.0,vettel,0,23.9,0,35.6,36.3,3.0,88.817,90.005,3.0,2018,26.0,0,0,0,0,1
89.109,13.0,15.0,0,1,1.0,vettel,0,23.9,0,35.6,36.2,3.0,88.429,90.115,3.0,2018,26.0,0,0,0,0,1
88.801,14.0,16.0,0,1,1.0,vettel,0,23.7,0,35.6,37.2,3.0,88.313,90.118,3.0,2018,26.0,0,0,0,0,1
88.685,15.0,17.0,0,1,1.0,vettel,0,23.9,0,35.2,37.7,3.0,88.457,90.104,3.0,2018,26.0,0,0,0,0,1
88.704,16.0,18.0,0,1,1.0,vettel,0,24.3,0,34.4,38.4,3.0,87.982,89.852,3.0,2018,26.0,0,0,0,0,1
88.596,17.0,19.0,0,1,1.0,vettel,0,24.4,0,33.8,38.4,3.0,88.216,90.446,3.0,2018,26.0,0,0,0,0,1
88.534,18.0,20.0,0,1,1.0,vettel,0,24.0,0,34.4,38.6,2.0,87.852,105.858,3.0,2018,26.0,0,0,0,0,1
88.488,19.0,21.0,0,1,1.0,vettel,0,24.0,0,35.0,38.6,1.0,91.105,105.005,3.0,2018,26.0,0,0,0,0,1
88.245,20.0,22.0,0,1,1.0,vettel,0,24.1,0,34.5,38.5,1.0,108.767,92.966,3.0,2018,26.0,0,0,0,0,1
88.561,21.0,23.0,0,1,1.0,vettel,0,24.1,0,34.5,38.3,1.0,94.359,87.954,3.0,2018,26.0,0,0,0,0,1
88.515,22.0,24.0,0,1,1.0,vettel,0,24.1,0,34.9,38.4,1.0,121.527,88.821,3.0,2018,26.0,0,0,0,0,1
88.954,23.0,25.0,0,1,1.0,vettel,0,23.9,0,34.9,37.8,1.0,98.833,88.228,3.0,2018,26.0,0,0,0,0,1
89.003,24.0,26.0,0,2,1.0,vettel,0,23.7,0,34.4,37.1,1.0,89.513,88.039,3.0,2018,26.0,0,0,0,0,1
88.787,25.0,27.0,0,2,1.0,vettel,0,23.7,0,33.4,36.6,1.0,124.565,88.681,3.0,2018,26.0,0,0,0,0,1
125.108,26.0,28.0,0,26,1.0,vettel,0,24.1,0,30.9,37.8,1.0,123.747,117.688,3.0,2018,58.0,0,0,0,0,1
129.347,27.0,1.0,1,6,2.0,vettel,1,24.5,0,28.1,38.4,1.0,124.405,127.013,3.0,2018,58.0,0,0,1,0,0
123.248,28.0,2.0,1,64,2.0,vettel,0,24.7,0,27.0,38.5,1.0,124.593,122.992,3.0,2018,58.0,0,0,1,0,0
